type,n,m,t,otps,cmps,iters
min,190,266,43,10,8,85
rnd,190,266,43,10,8,68
max,190,266,35,9,8,10
min,190,266,35,9,8,11
rnd,190,266,35,9,8,11
max,190,266,44,16,6,95
max,190,266,47,3,7,5
min,190,266,47,3,7,5
rnd,190,266,47,3,7,6
max,190,266,5,1,2,2
min,190,266,5,1,2,2
rnd,190,266,5,1,2,2
max,190,266,38,8,6,27
min,190,266,38,8,6,22
rnd,190,266,38,8,6,26
max,190,266,27,6,6,7
min,190,266,27,6,6,7
rnd,190,266,27,6,6,7
max,190,266,47,7,5,10
min,190,266,47,7,5,14
rnd,190,266,47,7,5,10
max,190,266,12,2,3,3
min,190,266,12,2,3,4
rnd,190,266,12,2,3,4
max,190,266,6,2,3,3
min,190,266,6,2,3,3
rnd,190,266,6,2,3,3
max,190,266,50,11,11,15
min,190,266,50,11,11,26
rnd,190,266,50,11,11,14
max,190,266,43,4,5,9
min,190,266,43,4,5,9
rnd,190,266,43,4,5,8
max,190,266,42,21,10,73
max,190,266,22,4,4,5
min,190,266,22,4,4,7
rnd,190,266,22,4,4,5
max,190,266,29,4,4,5
min,190,266,29,4,4,5
rnd,190,266,29,4,4,5
max,190,266,8,1,2,2
min,190,266,8,1,2,2
rnd,190,266,8,1,2,2
max,190,266,37,8,6,15
min,190,266,37,8,6,15
rnd,190,266,37,8,6,16
max,190,266,10,2,3,3
min,190,266,10,2,3,3
rnd,190,266,10,2,3,3
max,190,266,14,4,6,5
min,190,266,14,4,6,5
rnd,190,266,14,4,6,5
max,190,266,29,7,3,31
min,190,266,29,7,3,54
rnd,190,266,29,7,3,37
max,190,266,11,1,2,2
min,190,266,11,1,2,2
rnd,190,266,11,1,2,2
max,190,266,18,5,5,7
min,190,266,18,5,5,7
rnd,190,266,18,5,5,7
max,190,266,12,1,3,2
min,190,266,12,1,3,2
rnd,190,266,12,1,3,2
max,190,266,17,4,4,6
min,190,266,17,4,4,10
rnd,190,266,17,4,4,8
max,190,266,25,1,2,2
min,190,266,25,1,2,2
rnd,190,266,25,1,2,2
max,190,266,23,1,2,2
min,190,266,23,1,2,2
rnd,190,266,23,1,2,2
max,190,266,18,4,4,7
min,190,266,18,4,4,5
rnd,190,266,18,4,4,5
max,190,266,44,15,8,23
min,190,266,44,15,8,33
rnd,190,266,44,15,8,25
max,190,266,5,2,2,3
min,190,266,5,2,2,3
rnd,190,266,5,2,2,3
max,190,266,35,7,8,10
min,190,266,35,7,8,10
rnd,190,266,35,7,8,10
max,190,266,23,2,3,3
min,190,266,23,2,3,4
rnd,190,266,23,2,3,3
max,190,266,25,3,4,5
min,190,266,25,3,4,5
rnd,190,266,25,3,4,5
max,190,266,50,21,12,57
min,190,266,50,21,12,87
max,190,266,15,1,2,2
min,190,266,15,1,2,2
rnd,190,266,15,1,2,2
max,190,266,33,6,5,7
min,190,266,33,6,5,7
rnd,190,266,33,6,5,7
max,190,266,15,5,3,6
min,190,266,15,5,3,7
rnd,190,266,15,5,3,7
max,190,266,7,0,3,1
min,190,266,7,0,3,1
rnd,190,266,7,0,3,1
max,190,266,16,0,2,1
min,190,266,16,0,2,1
rnd,190,266,16,0,2,1
max,190,266,48,14,7,51
min,190,266,48,14,7,88
max,190,266,18,3,7,5
min,190,266,18,3,7,5
rnd,190,266,18,3,7,5
max,190,266,27,5,4,14
min,190,266,27,5,4,13
rnd,190,266,27,5,4,9
max,190,266,29,6,7,12
min,190,266,29,6,7,14
rnd,190,266,29,6,7,12
max,190,266,42,15,10,63
min,190,266,42,15,10,58
rnd,190,266,42,15,10,47
max,190,266,26,4,4,5
min,190,266,26,4,4,5
rnd,190,266,26,4,4,5
max,190,266,26,7,6,17
min,190,266,26,7,6,53
rnd,190,266,26,7,6,42
max,190,266,38,13,7,19
min,190,266,38,13,7,40
rnd,190,266,38,13,7,31
max,190,266,30,6,5,8
min,190,266,30,6,5,13
rnd,190,266,30,6,5,7
max,190,266,48,20,15,52
max,190,266,6,1,2,2
min,190,266,6,1,2,2
rnd,190,266,6,1,2,2
max,190,266,29,4,4,8
min,190,266,29,4,4,12
rnd,190,266,29,4,4,8
max,190,266,24,4,4,7
min,190,266,24,4,4,7
rnd,190,266,24,4,4,7
max,190,266,48,16,9,47
rnd,190,266,48,16,9,38
max,190,266,25,3,3,6
min,190,266,25,3,3,6
rnd,190,266,25,3,3,6
max,190,266,12,2,3,3
min,190,266,12,2,3,3
rnd,190,266,12,2,3,3
max,190,266,20,1,2,2
min,190,266,20,1,2,2
rnd,190,266,20,1,2,2
max,190,266,11,1,2,2
min,190,266,11,1,2,2
rnd,190,266,11,1,2,2
max,190,266,17,1,2,2
min,190,266,17,1,2,2
rnd,190,266,17,1,2,2
max,190,266,19,7,3,15
min,190,266,19,7,3,28
rnd,190,266,19,7,3,17
max,190,266,35,9,9,19
min,190,266,35,9,9,24
rnd,190,266,35,9,9,19
max,190,266,24,0,2,1
min,190,266,24,0,2,1
rnd,190,266,24,0,2,1
max,190,266,15,1,2,2
min,190,266,15,1,2,2
rnd,190,266,15,1,2,2
max,190,266,16,4,3,5
min,190,266,16,4,3,5
rnd,190,266,16,4,3,5
max,190,266,10,1,2,2
min,190,266,10,1,2,2
rnd,190,266,10,1,2,2
max,190,266,40,12,7,86
min,190,266,40,12,7,84
rnd,190,266,40,12,7,43
max,190,266,19,2,3,3
min,190,266,19,2,3,3
rnd,190,266,19,2,3,3
max,190,266,14,7,3,19
min,190,266,14,7,3,14
rnd,190,266,14,7,3,17
max,190,266,34,3,3,4
min,190,266,34,3,3,4
rnd,190,266,34,3,3,4
max,190,266,45,10,6,17
min,190,266,45,10,6,33
rnd,190,266,45,10,6,16
max,190,266,30,6,8,7
min,190,266,30,6,8,7
rnd,190,266,30,6,8,7
max,190,266,47,9,9,10
min,190,266,47,9,9,13
rnd,190,266,47,9,9,12
max,190,266,32,8,6,10
min,190,266,32,8,6,13
rnd,190,266,32,8,6,12
max,190,266,24,4,5,8
