type,n,m,t,otps,cmps,iters
max,55,58,8,11,6,17
min,55,58,8,11,6,81
rnd,55,58,8,11,6,20
max,55,58,13,21,10,86
min,55,58,13,21,10,794
rnd,55,58,13,21,10,789
max,55,58,24,77,17,353
max,55,58,16,38,14,39
rnd,55,58,16,38,14,273
max,55,58,4,3,4,5
min,55,58,4,3,4,5
rnd,55,58,4,3,4,4
max,55,58,14,41,11,78
rnd,55,58,14,41,11,546
max,55,58,5,6,4,7
min,55,58,5,6,4,17
rnd,55,58,5,6,4,8
max,55,58,24,49,18,91
max,55,58,24,66,15,117
rnd,55,58,24,66,15,260
max,55,58,21,93,18,180
min,55,58,21,93,18,733
max,55,58,23,88,17,170
max,55,58,16,35,11,66
rnd,55,58,16,35,11,708
max,55,58,20,32,13,33
min,55,58,20,32,13,120
rnd,55,58,20,32,13,113
max,55,58,22,58,18,107
min,55,58,22,58,18,1957
max,55,58,11,26,10,48
min,55,58,11,26,10,432
rnd,55,58,11,26,10,96
max,55,58,19,48,14,49
min,55,58,19,48,14,128
rnd,55,58,19,48,14,465
max,55,58,9,17,9,18
min,55,58,9,17,9,47
rnd,55,58,9,17,9,105
max,55,58,13,35,11,36
min,55,58,13,35,11,118
rnd,55,58,13,35,11,42
max,55,58,24,57,16,115
min,55,58,24,57,16,1292
rnd,55,58,24,57,16,226
max,55,58,5,5,4,6
min,55,58,5,5,4,13
rnd,55,58,5,5,4,12
max,55,58,11,22,10,50
min,55,58,11,22,10,874
rnd,55,58,11,22,10,191
max,55,58,11,25,10,26
min,55,58,11,25,10,59
rnd,55,58,11,25,10,59
max,55,58,19,46,13,82
min,55,58,19,46,13,812
rnd,55,58,19,46,13,79
max,55,58,18,27,12,28
min,55,58,18,27,12,487
rnd,55,58,18,27,12,48
max,55,58,3,3,4,4
min,55,58,3,3,4,4
rnd,55,58,3,3,4,4
max,55,58,20,90,16,187
max,55,58,15,28,12,29
min,55,58,15,28,12,1480
rnd,55,58,15,28,12,1469
max,55,58,22,71,16,156
max,55,58,12,34,12,64
max,55,58,10,21,10,22
min,55,58,10,21,10,165
rnd,55,58,10,21,10,60
max,55,58,4,4,4,7
min,55,58,4,4,4,9
rnd,55,58,4,4,4,9
max,55,58,23,75,19,155
max,55,58,19,55,13,113
max,55,58,18,48,13,49
min,55,58,18,48,13,116
rnd,55,58,18,48,13,1226
max,55,58,10,31,9,60
min,55,58,10,31,9,72
rnd,55,58,10,31,9,80
max,55,58,24,85,18,164
min,55,58,24,85,18,1641
rnd,55,58,24,85,18,482
max,55,58,11,15,6,16
min,55,58,11,15,6,33
rnd,55,58,11,15,6,21
max,55,58,19,35,14,36
min,55,58,19,35,14,925
rnd,55,58,19,35,14,748
max,55,58,3,4,4,5
min,55,58,3,4,4,8
rnd,55,58,3,4,4,5
max,55,58,23,60,17,143
min,55,58,23,60,17,1712
rnd,55,58,23,60,17,574
max,55,58,23,84,18,85
rnd,55,58,23,84,18,775
max,55,58,18,59,16,153
max,55,58,2,2,3,3
min,55,58,2,2,3,3
rnd,55,58,2,2,3,3
max,55,58,6,8,5,9
min,55,58,6,8,5,44
rnd,55,58,6,8,5,13
max,55,58,19,82,16,122
max,55,58,11,26,11,27
min,55,58,11,26,11,60
rnd,55,58,11,26,11,45
max,55,58,10,16,8,17
