type,n,m,t,otps,cmps,iters
max,120,305,74,3,2,4
min,120,305,74,3,2,4
rnd,120,305,74,3,2,4
max,120,305,97,6,3,7
min,120,305,97,6,3,9
rnd,120,305,97,6,3,9
max,120,305,73,6,3,12
min,120,305,73,6,3,18
rnd,120,305,73,6,3,12
max,120,305,54,2,3,3
min,120,305,54,2,3,3
rnd,120,305,54,2,3,3
max,120,305,140,29,6,54
max,120,305,92,1,2,2
min,120,305,92,1,2,2
rnd,120,305,92,1,2,2
max,120,305,135,23,5,36
min,120,305,135,23,5,107
rnd,120,305,135,23,5,54
max,120,305,136,21,4,34
min,120,305,136,21,4,59
rnd,120,305,136,21,4,31
max,120,305,62,3,3,4
min,120,305,62,3,3,4
rnd,120,305,62,3,3,4
max,120,305,116,24,5,49
rnd,120,305,116,24,5,134
max,120,305,34,3,3,4
min,120,305,34,3,3,4
rnd,120,305,34,3,3,4
max,120,305,144,12,4,16
min,120,305,144,12,4,28
rnd,120,305,144,12,4,28
max,120,305,105,2,3,3
min,120,305,105,2,3,3
rnd,120,305,105,2,3,3
max,120,305,95,5,2,6
min,120,305,95,5,2,6
rnd,120,305,95,5,2,6
max,120,305,80,4,4,5
min,120,305,80,4,4,5
rnd,120,305,80,4,4,5
max,120,305,140,11,4,17
min,120,305,140,11,4,74
rnd,120,305,140,11,4,40
max,120,305,140,33,4,47
rnd,120,305,140,33,4,87
max,120,305,140,1,2,2
min,120,305,140,1,2,2
rnd,120,305,140,1,2,2
max,120,305,119,2,2,3
min,120,305,119,2,2,3
rnd,120,305,119,2,2,3
max,120,305,73,1,2,2
min,120,305,73,1,2,2
rnd,120,305,73,1,2,2
max,120,305,126,5,3,6
min,120,305,126,5,3,8
rnd,120,305,126,5,3,8
max,120,305,17,1,2,2
min,120,305,17,1,2,2
rnd,120,305,17,1,2,2
max,120,305,105,5,3,6
min,120,305,105,5,3,6
rnd,120,305,105,5,3,6
max,120,305,130,11,3,16
min,120,305,130,11,3,21
rnd,120,305,130,11,3,18
max,120,305,49,3,2,4
