type,n,m,t,otps,cmps,iters
rnd,68,115,11,4,2,6
max,68,115,28,8,3,10
min,68,115,28,8,3,24
rnd,68,115,28,8,3,21
max,68,115,40,13,3,15
min,68,115,40,13,3,82
rnd,68,115,40,13,3,42
max,68,115,33,2,2,3
min,68,115,33,2,2,4
rnd,68,115,33,2,2,3
max,68,115,36,4,2,5
min,68,115,36,4,2,5
rnd,68,115,36,4,2,5
max,68,115,34,13,4,19
min,68,115,34,13,4,68
rnd,68,115,34,13,4,57
max,68,115,36,9,3,15
min,68,115,36,9,3,33
rnd,68,115,36,9,3,30
max,68,115,31,3,2,4
min,68,115,31,3,2,8
rnd,68,115,31,3,2,5
max,68,115,37,3,2,4
min,68,115,37,3,2,6
rnd,68,115,37,3,2,5
max,68,115,39,20,3,49
rnd,68,115,39,20,3,161
max,68,115,36,7,2,8
min,68,115,36,7,2,16
rnd,68,115,36,7,2,16
max,68,115,34,11,3,15
min,68,115,34,11,3,87
rnd,68,115,34,11,3,55
max,68,115,30,6,2,9
min,68,115,30,6,2,23
rnd,68,115,30,6,2,12
max,68,115,23,6,2,7
min,68,115,23,6,2,7
rnd,68,115,23,6,2,7
max,68,115,27,3,2,4
min,68,115,27,3,2,7
rnd,68,115,27,3,2,5
max,68,115,31,2,2,3
min,68,115,31,2,2,4
rnd,68,115,31,2,2,4
max,68,115,7,3,2,4
min,68,115,7,3,2,7
rnd,68,115,7,3,2,4
max,68,115,29,4,2,8
min,68,115,29,4,2,7
rnd,68,115,29,4,2,7
max,68,115,36,5,2,18
min,68,115,36,5,2,24
rnd,68,115,36,5,2,18
max,68,115,26,4,2,8
min,68,115,26,4,2,16
rnd,68,115,26,4,2,8
max,68,115,37,6,2,15
min,68,115,37,6,2,31
rnd,68,115,37,6,2,26
max,68,115,33,54,7,334
max,68,115,32,2,2,3
min,68,115,32,2,2,3
rnd,68,115,32,2,2,3
max,68,115,35,31,3,58
min,68,115,35,31,3,162
rnd,68,115,35,31,3,79
max,68,115,36,17,3,29
min,68,115,36,17,3,75
rnd,68,115,36,17,3,41
max,68,115,21,7,2,9
min,68,115,21,7,2,20
rnd,68,115,21,7,2,13
max,68,115,40,20,4,48
min,68,115,40,20,4,209
rnd,68,115,40,20,4,190
max,68,115,27,8,3,12
min,68,115,27,8,3,49
rnd,68,115,27,8,3,31
max,68,115,28,8,3,27
min,68,115,28,8,3,191
rnd,68,115,28,8,3,44
max,68,115,36,9,3,14
min,68,115,36,9,3,87
rnd,68,115,36,9,3,75
max,68,115,34,4,2,5
min,68,115,34,4,2,12
rnd,68,115,34,4,2,6
max,68,115,29,6,2,8
min,68,115,29,6,2,44
rnd,68,115,29,6,2,10
max,68,115,31,3,2,7
min,68,115,31,3,2,8
rnd,68,115,31,3,2,8
max,68,115,35,8,2,11
min,68,115,35,8,2,16
rnd,68,115,35,8,2,14
max,68,115,31,13,2,23
min,68,115,31,13,2,106
rnd,68,115,31,13,2,49
max,68,115,40,45,7,967
max,68,115,36,13,2,18
min,68,115,36,13,2,45
rnd,68,115,36,13,2,26
max,68,115,39,6,2,9
min,68,115,39,6,2,15
rnd,68,115,39,6,2,11
max,68,115,37,12,3,24
min,68,115,37,12,3,80
rnd,68,115,37,12,3,45
max,68,115,33,21,3,35
min,68,115,33,21,3,64
rnd,68,115,33,21,3,94
max,68,115,37,19,3,31
min,68,115,37,19,3,83
rnd,68,115,37,19,3,102
max,68,115,24,13,3,41
min,68,115,24,13,3,93
rnd,68,115,24,13,3,99
max,68,115,25,12,3,23
min,68,115,25,12,3,28
rnd,68,115,25,12,3,52
max,68,115,33,3,2,4
min,68,115,33,3,2,6
rnd,68,115,33,3,2,6
max,68,115,36,4,2,7
min,68,115,36,4,2,16
rnd,68,115,36,4,2,10
